nombre_usuario|repositorio|descripcion|fecha_actualizacion|lenguaje|estrellas|tags|url
twbs|bootstrap|2017-06-24|JavaScript|112k|javascript,css,html,bootstrap,jekyll-site,scss|https://github.com/twbs/bootstrap
ppa|freeCodeCamp|2017-06-24|JavaScript|290k|nonprofits,certification,curriculum,react,nodejs,javascript,d3,teachers,community,education,programming,math,learn-to-code,careers|https://github.com/freeCodeCamp/freeCodeCamp
